event_id,data,miasto,latitude,longitude,gatunek,typ_obiektu,pojemnosc,bilety_sprzedane,cena_biletu_pln,przychod_pln
50060,2025-01-01,Kraków,50.0647,19.945,electronic,klub,884,779,140.0,109060
50061,2025-03-30,Szczecin,53.4285,14.5528,classical,festiwal,24414,18086,120.0,2170320
50062,2025-03-03,Katowice,50.2649,19.0238,pop,teatr,1021,776,210.0,162960
50063,2025-05-23,Warszawa,52.2297,21.0122,folk,festiwal,24327,18045,170.0,3067650
50064,2024-02-04,Lublin,51.2465,22.5684,hip-hop,klub,1440,1035,130.0,134550
50065,2024-07-24,Poznań,52.4064,16.9252,hip-hop,klub,1146,954,150.0,143100
50066,2024-03-21,Białystok,53.1325,23.1688,pop,stadion,34693,16637,400.0,6654800
50067,2025-07-15,Katowice,50.2649,19.0238,metal,amfiteatr,4165,4080,190.0,775200
50068,2025-01-22,Wrocław,51.1079,17.0385,classical,amfiteatr,2006,1851,120.0,222120
50069,2024-01-02,Warszawa,52.2297,21.0122,rock,klub,1404,1113,70.0,77910
50070,2025-01-24,Kraków,50.0647,19.945,rock,klub,775,653,100.0,65300
50071,2025-07-19,Poznań,52.4064,16.9252,folk,amfiteatr,1743,820,70.0,57400
50072,2024-04-15,Gdańsk,54.352,18.6466,metal,teatr,905,699,230.0,160770
50073,2025-04-21,Kraków,50.0647,19.945,jazz,amfiteatr,6017,3340,100.0,334000
50074,2025-12-03,Warszawa,52.2297,21.0122,jazz,klub,1310,552,90.0,49680
50075,2025-02-05,Lublin,51.2465,22.5684,electronic,stadion,56358,45498,250.0,11374500
50076,2025-12-30,Szczecin,53.4285,14.5528,classical,teatr,1701,1342,170.0,228140
50077,2025-07-09,Poznań,52.4064,16.9252,classical,festiwal,52832,28825,150.0,4323750
50078,2024-06-10,Warszawa,52.2297,21.0122,hip-hop,arena,14985,9696,330.0,3199680
50079,2024-07-20,Kraków,50.0647,19.945,indie,klub,1208,1053,50.0,52650
50080,2024-09-26,Warszawa,52.2297,21.0122,folk,stadion,37576,34662,130.0,4506060
50081,2024-09-27,Białystok,53.1325,23.1688,rock,klub,529,499,90.0,44910
50082,2025-03-31,Warszawa,52.2297,21.0122,folk,arena,4464,3628,150.0,544200
50083,2025-04-06,Gdańsk,54.352,18.6466,jazz,amfiteatr,1890,1140,170.0,193800
50084,2025-12-27,Kraków,50.0647,19.945,jazz,klub,580,387,70.0,27090
50085,2024-09-08,Gdańsk,54.352,18.6466,pop,teatr,1729,1625,170.0,276250
50086,2025-12-02,Gdańsk,54.352,18.6466,electronic,klub,941,379,140.0,53060
50087,2024-10-22,Katowice,50.2649,19.0238,classical,festiwal,32490,22611,130.0,2939430
50088,2025-12-25,Kraków,50.0647,19.945,reggae,amfiteatr,6415,5582,90.0,502380
50089,2025-12-20,Warszawa,52.2297,21.0122,folk,klub,872,435,50.0,21750
50090,2024-12-03,Warszawa,52.2297,21.0122,jazz,klub,712,619,70.0,43330
50091,2024-02-22,Białystok,53.1325,23.1688,indie,arena,8867,3992,110.0,439120
50092,2024-08-04,Lublin,51.2465,22.5684,hip-hop,klub,1148,969,90.0,87210
50093,2024-07-06,Gdańsk,54.352,18.6466,rock,teatr,1611,789,170.0,134130
50094,2025-01-14,Gdańsk,54.352,18.6466,electronic,amfiteatr,2429,2073,210.0,435330
50095,2025-05-07,Łódź,51.7592,19.456,indie,arena,4539,3651,120.0,438120
50096,2024-02-10,Warszawa,52.2297,21.0122,electronic,klub,1112,766,140.0,107240
50097,2024-06-05,Białystok,53.1325,23.1688,pop,arena,3643,2694,200.0,538800
50098,2024-01-15,Wrocław,51.1079,17.0385,reggae,teatr,826,618,150.0,92700
50099,2024-03-05,Wrocław,51.1079,17.0385,jazz,klub,701,621,80.0,49680
50100,2025-06-04,Poznań,52.4064,16.9252,hip-hop,stadion,28921,21394,400.0,8557600
50101,2024-12-09,Warszawa,52.2297,21.0122,indie,festiwal,60435,43802,120.0,5256240
50102,2024-05-08,Warszawa,52.2297,21.0122,electronic,festiwal,20310,16460,320.0,5267200
50103,2025-10-09,Łódź,51.7592,19.456,classical,klub,677,462,70.0,32340
50104,2025-04-16,Warszawa,52.2297,21.0122,pop,teatr,1601,1268,230.0,291640
50105,2024-03-03,Gdańsk,54.352,18.6466,classical,klub,656,445,110.0,48950
50106,2024-05-18,Kraków,50.0647,19.945,hip-hop,klub,388,344,140.0,48160
50107,2025-05-13,Wrocław,51.1079,17.0385,indie,amfiteatr,5886,5573,100.0,557300
50108,2025-08-15,Kraków,50.0647,19.945,pop,teatr,1943,1812,330.0,597960
50109,2025-01-26,Wrocław,51.1079,17.0385,indie,klub,1119,953,70.0,66710
50110,2025-11-05,Łódź,51.7592,19.456,jazz,klub,491,376,70.0,26320
50111,2025-02-22,Kraków,50.0647,19.945,metal,klub,955,638,140.0,89320
50112,2024-10-15,Gdańsk,54.352,18.6466,pop,klub,576,392,120.0,47040
50113,2025-01-13,Poznań,52.4064,16.9252,classical,klub,1379,1301,100.0,130100
50114,2025-05-04,Łódź,51.7592,19.456,hip-hop,klub,707,415,100.0,41500
50115,2024-08-18,Szczecin,53.4285,14.5528,reggae,arena,4436,3982,170.0,676940
50116,2024-02-10,Łódź,51.7592,19.456,jazz,teatr,927,754,170.0,128180
50117,2024-01-28,Kraków,50.0647,19.945,metal,festiwal,21618,19597,290.0,5683130
50118,2024-05-14,Warszawa,52.2297,21.0122,reggae,festiwal,26122,17491,180.0,3148380
50119,2024-07-19,Kraków,50.0647,19.945,rock,klub,1410,1120,80.0,89600
50120,2024-02-02,Gdańsk,54.352,18.6466,jazz,amfiteatr,4602,3051,150.0,457650
50121,2024-02-17,Warszawa,52.2297,21.0122,hip-hop,teatr,659,498,170.0,84660
50122,2025-05-17,Poznań,52.4064,16.9252,electronic,teatr,820,689,240.0,165360
50123,2025-02-10,Gdańsk,54.352,18.6466,pop,teatr,1952,1254,310.0,388740
50124,2025-07-27,Wrocław,51.1079,17.0385,indie,amfiteatr,5122,3547,100.0,354700
50125,2025-12-28,Katowice,50.2649,19.0238,hip-hop,arena,7399,5617,290.0,1628930
50126,2024-04-08,Warszawa,52.2297,21.0122,pop,klub,1141,877,110.0,96470
50127,2025-11-14,Warszawa,52.2297,21.0122,reggae,festiwal,38633,30079,170.0,5113430
50128,2025-12-26,Łódź,51.7592,19.456,indie,teatr,1462,977,120.0,117240
50129,2025-06-30,Poznań,52.4064,16.9252,folk,teatr,1912,1037,120.0,124440
50130,2025-09-04,Łódź,51.7592,19.456,classical,arena,6715,4091,100.0,409100
50131,2025-04-06,Wrocław,51.1079,17.0385,rock,klub,741,696,130.0,90480
50132,2025-10-04,Kraków,50.0647,19.945,jazz,klub,1426,1023,70.0,71610
50133,2024-01-05,Katowice,50.2649,19.0238,hip-hop,amfiteatr,6685,6098,210.0,1280580
50134,2024-08-05,Katowice,50.2649,19.0238,rock,stadion,26411,9188,190.0,1745720
50135,2025-05-17,Łódź,51.7592,19.456,electronic,arena,9365,7088,270.0,1913760
50136,2025-02-01,Kraków,50.0647,19.945,pop,klub,1313,1064,120.0,127680
50137,2025-01-27,Gdańsk,54.352,18.6466,pop,klub,892,726,150.0,108900
50138,2024-07-25,Wrocław,51.1079,17.0385,hip-hop,amfiteatr,5850,3201,160.0,512160
50139,2024-01-15,Warszawa,52.2297,21.0122,metal,festiwal,53390,35728,250.0,8932000
50140,2025-07-07,Białystok,53.1325,23.1688,metal,teatr,841,699,160.0,111840
50141,2025-04-05,Warszawa,52.2297,21.0122,folk,arena,13073,9308,140.0,1303120
50142,2025-11-21,Szczecin,53.4285,14.5528,classical,festiwal,15209,7580,150.0,1137000
50143,2025-07-28,Wrocław,51.1079,17.0385,indie,klub,589,319,90.0,28710
50144,2024-08-28,Warszawa,52.2297,21.0122,electronic,teatr,981,804,140.0,112560
50145,2025-07-17,Poznań,52.4064,16.9252,rock,arena,10211,8373,180.0,1507140
50146,2024-04-05,Lublin,51.2465,22.5684,metal,arena,12927,12130,190.0,2304700
50147,2025-04-29,Łódź,51.7592,19.456,folk,festiwal,34594,15131,100.0,1513100
50148,2025-02-10,Katowice,50.2649,19.0238,folk,amfiteatr,2624,2049,70.0,143430
50149,2024-08-18,Łódź,51.7592,19.456,hip-hop,klub,806,476,170.0,80920
50150,2025-10-16,Łódź,51.7592,19.456,electronic,teatr,1780,1574,270.0,424980
50151,2024-06-19,Lublin,51.2465,22.5684,reggae,klub,232,167,90.0,15030
50152,2025-06-24,Kraków,50.0647,19.945,indie,arena,9089,5122,110.0,563420
50153,2024-02-05,Poznań,52.4064,16.9252,classical,klub,1452,958,70.0,67060
50154,2025-06-08,Kraków,50.0647,19.945,jazz,klub,1061,749,100.0,74900
50155,2024-06-08,Szczecin,53.4285,14.5528,hip-hop,arena,11346,9797,180.0,1763460
50156,2025-11-29,Szczecin,53.4285,14.5528,indie,klub,1104,591,100.0,59100
50157,2024-08-30,Warszawa,52.2297,21.0122,jazz,arena,4269,3362,140.0,470680
50158,2024-03-26,Łódź,51.7592,19.456,jazz,amfiteatr,1904,1754,180.0,315720
50159,2025-07-31,Białystok,53.1325,23.1688,electronic,klub,1043,933,120.0,111960
50160,2025-11-12,Warszawa,52.2297,21.0122,electronic,teatr,1964,1325,240.0,318000
50161,2025-07-10,Gdańsk,54.352,18.6466,rock,arena,4184,2744,140.0,384160
50162,2025-07-27,Białystok,53.1325,23.1688,folk,festiwal,44493,30209,180.0,5437620
50163,2025-10-07,Warszawa,52.2297,21.0122,indie,klub,1340,1052,60.0,63120
50164,2024-01-28,Łódź,51.7592,19.456,hip-hop,klub,470,212,150.0,31800
50165,2025-09-11,Kraków,50.0647,19.945,pop,klub,969,846,180.0,152280
50166,2025-07-09,Białystok,53.1325,23.1688,hip-hop,klub,371,195,100.0,19500
50167,2024-12-05,Szczecin,53.4285,14.5528,rock,klub,473,421,110.0,46310
50168,2024-11-26,Szczecin,53.4285,14.5528,classical,festiwal,28690,23177,170.0,3940090
50169,2025-10-01,Poznań,52.4064,16.9252,folk,amfiteatr,2658,1854,80.0,148320
50170,2025-05-20,Lublin,51.2465,22.5684,pop,teatr,821,422,250.0,105500
50171,2024-12-13,Lublin,51.2465,22.5684,metal,festiwal,59056,48684,190.0,9249960
50172,2025-04-17,Kraków,50.0647,19.945,classical,klub,563,387,70.0,27090
50173,2024-08-18,Katowice,50.2649,19.0238,electronic,klub,577,522,130.0,67860
50174,2024-07-08,Warszawa,52.2297,21.0122,jazz,klub,779,481,100.0,48100
50175,2024-08-12,Gdańsk,54.352,18.6466,metal,klub,1090,947,80.0,75760
50176,2025-01-19,Kraków,50.0647,19.945,hip-hop,arena,14459,10906,310.0,3380860
50177,2025-01-11,Warszawa,52.2297,21.0122,hip-hop,arena,9748,7583,310.0,2350730
50178,2024-10-09,Warszawa,52.2297,21.0122,electronic,klub,221,145,120.0,17400
50179,2025-09-24,Łódź,51.7592,19.456,rock,klub,1395,987,110.0,108570
50180,2025-09-19,Wrocław,51.1079,17.0385,indie,teatr,782,451,120.0,54120
50181,2024-09-15,Łódź,51.7592,19.456,metal,teatr,533,269,200.0,53800
50182,2024-12-24,Warszawa,52.2297,21.0122,metal,klub,1248,952,110.0,104720
50183,2025-12-10,Kraków,50.0647,19.945,reggae,amfiteatr,4756,4342,90.0,390780
50184,2025-03-31,Poznań,52.4064,16.9252,classical,amfiteatr,4656,1657,130.0,215410
50185,2025-02-14,Katowice,50.2649,19.0238,folk,klub,343,249,60.0,14940
50186,2025-10-10,Kraków,50.0647,19.945,classical,klub,423,232,50.0,11600
50187,2024-11-13,Gdańsk,54.352,18.6466,indie,arena,11411,9198,150.0,1379700
50188,2025-11-07,Lublin,51.2465,22.5684,hip-hop,amfiteatr,5774,4889,210.0,1026690
50189,2024-08-12,Gdańsk,54.352,18.6466,hip-hop,amfiteatr,3154,2762,180.0,497160
50190,2024-08-21,Kraków,50.0647,19.945,hip-hop,klub,632,463,130.0,60190
50191,2025-11-14,Warszawa,52.2297,21.0122,reggae,klub,464,255,100.0,25500
50192,2025-10-25,Lublin,51.2465,22.5684,hip-hop,stadion,61913,44123,360.0,15884280
50193,2025-01-08,Warszawa,52.2297,21.0122,indie,arena,7524,5707,150.0,856050
50194,2025-11-02,Lublin,51.2465,22.5684,electronic,klub,615,386,80.0,30880
50195,2025-08-30,Poznań,52.4064,16.9252,folk,amfiteatr,4274,3036,70.0,212520
50196,2025-04-16,Szczecin,53.4285,14.5528,indie,festiwal,45892,29872,140.0,4182080
50197,2024-08-20,Katowice,50.2649,19.0238,folk,teatr,879,554,120.0,66480
50198,2025-11-22,Szczecin,53.4285,14.5528,indie,amfiteatr,5014,4170,120.0,500400
50199,2024-04-22,Wrocław,51.1079,17.0385,hip-hop,teatr,1753,870,200.0,174000
50200,2025-05-11,Katowice,50.2649,19.0238,electronic,arena,14514,12128,200.0,2425600
50201,2025-03-17,Wrocław,51.1079,17.0385,metal,festiwal,10924,8084,180.0,1455120
50202,2025-07-17,Poznań,52.4064,16.9252,classical,klub,322,257,70.0,17990
50203,2024-09-24,Gdańsk,54.352,18.6466,jazz,festiwal,36478,21902,270.0,5913540
50204,2025-05-24,Lublin,51.2465,22.5684,electronic,klub,977,654,130.0,85020
50205,2025-01-20,Szczecin,53.4285,14.5528,metal,festiwal,21781,17870,170.0,3037900
50206,2025-01-21,Katowice,50.2649,19.0238,rock,klub,822,603,130.0,78390
50207,2024-04-22,Wrocław,51.1079,17.0385,indie,klub,788,752,80.0,60160
50208,2025-09-04,Wrocław,51.1079,17.0385,rock,klub,1370,964,120.0,115680
50209,2025-09-16,Łódź,51.7592,19.456,metal,klub,1290,1165,80.0,93200
50210,2024-03-21,Kraków,50.0647,19.945,electronic,teatr,1303,1115,190.0,211850
50211,2025-11-29,Warszawa,52.2297,21.0122,indie,teatr,919,669,90.0,60210
50212,2024-04-22,Wrocław,51.1079,17.0385,jazz,arena,7086,5940,210.0,1247400
50213,2024-01-02,Kraków,50.0647,19.945,hip-hop,klub,321,263,150.0,39450
50214,2025-10-03,Kraków,50.0647,19.945,indie,klub,539,418,70.0,29260
50215,2024-08-07,Kraków,50.0647,19.945,indie,klub,374,273,70.0,19110
50216,2025-07-19,Warszawa,52.2297,21.0122,electronic,klub,796,629,90.0,56610
50217,2024-08-12,Warszawa,52.2297,21.0122,electronic,amfiteatr,6046,4384,120.0,526080
50218,2025-01-19,Szczecin,53.4285,14.5528,metal,klub,756,366,140.0,51240
50219,2025-02-06,Wrocław,51.1079,17.0385,pop,klub,1359,1110,120.0,133200
50220,2025-09-29,Wrocław,51.1079,17.0385,indie,klub,1239,1089,50.0,54450
50221,2024-05-09,Łódź,51.7592,19.456,classical,klub,1418,1100,110.0,121000
50222,2024-02-22,Kraków,50.0647,19.945,indie,arena,6567,5569,140.0,779660
50223,2025-11-14,Szczecin,53.4285,14.5528,metal,festiwal,63051,56697,260.0,14741220
50224,2025-12-30,Katowice,50.2649,19.0238,folk,klub,533,425,50.0,21250
50225,2025-11-02,Warszawa,52.2297,21.0122,rock,klub,1216,989,120.0,118680
50226,2025-12-10,Wrocław,51.1079,17.0385,hip-hop,klub,526,378,120.0,45360
50227,2025-02-19,Lublin,51.2465,22.5684,pop,klub,214,191,170.0,32470
50228,2024-09-03,Szczecin,53.4285,14.5528,jazz,klub,1038,702,70.0,49140
50229,2025-03-14,Poznań,52.4064,16.9252,jazz,amfiteatr,3137,2706,130.0,351780
50230,2024-07-21,Gdańsk,54.352,18.6466,jazz,festiwal,63473,60736,250.0,15184000
50231,2024-07-02,Warszawa,52.2297,21.0122,electronic,stadion,39880,28605,310.0,8867550
50232,2024-05-02,Szczecin,53.4285,14.5528,jazz,arena,4813,4168,180.0,750240
50233,2025-02-04,Kraków,50.0647,19.945,hip-hop,arena,14671,11016,180.0,1982880
50234,2024-10-20,Szczecin,53.4285,14.5528,rock,arena,9256,8819,150.0,1322850
50235,2024-10-06,Gdańsk,54.352,18.6466,jazz,festiwal,24308,23407,230.0,5383610
50236,2025-09-01,Gdańsk,54.352,18.6466,indie,teatr,1851,1236,140.0,173040
50237,2024-07-16,Poznań,52.4064,16.9252,indie,klub,200,165,100.0,16500
50238,2025-05-25,Kraków,50.0647,19.945,electronic,arena,5313,4601,250.0,1150250
50239,2024-05-23,Warszawa,52.2297,21.0122,hip-hop,arena,12706,6535,240.0,1568400
50240,2025-08-31,Kraków,50.0647,19.945,rock,amfiteatr,2731,1195,200.0,239000
50241,2024-07-19,Warszawa,52.2297,21.0122,pop,festiwal,19837,18256,230.0,4198880
50242,2024-05-03,Katowice,50.2649,19.0238,metal,arena,8831,6914,180.0,1244520
50243,2024-07-05,Wrocław,51.1079,17.0385,rock,klub,1151,760,90.0,68400
50244,2024-11-21,Warszawa,52.2297,21.0122,metal,festiwal,46824,40445,160.0,6471200
50245,2025-04-08,Szczecin,53.4285,14.5528,folk,klub,505,362,80.0,28960
50246,2024-12-14,Lublin,51.2465,22.5684,metal,klub,211,141,100.0,14100
50247,2025-10-21,Białystok,53.1325,23.1688,classical,klub,1136,1130,80.0,90400
50248,2025-02-06,Szczecin,53.4285,14.5528,indie,festiwal,78472,43746,150.0,6561900
50249,2024-12-11,Warszawa,52.2297,21.0122,hip-hop,klub,370,247,130.0,32110
50250,2025-05-25,Wrocław,51.1079,17.0385,reggae,klub,333,213,60.0,12780
50251,2024-05-26,Katowice,50.2649,19.0238,electronic,amfiteatr,7626,4036,190.0,766840
50252,2024-05-27,Łódź,51.7592,19.456,classical,klub,1164,751,80.0,60080
50253,2025-12-11,Warszawa,52.2297,21.0122,metal,arena,12642,10039,230.0,2308970
50254,2025-05-03,Katowice,50.2649,19.0238,jazz,arena,14288,6337,140.0,887180
50255,2025-10-01,Kraków,50.0647,19.945,hip-hop,klub,1413,1035,110.0,113850
50256,2025-07-04,Kraków,50.0647,19.945,classical,teatr,1564,854,150.0,128100
50257,2024-12-03,Poznań,52.4064,16.9252,electronic,klub,857,667,140.0,93380
50258,2025-10-02,Gdańsk,54.352,18.6466,indie,arena,14707,6616,130.0,860080
50259,2025-04-17,Gdańsk,54.352,18.6466,hip-hop,stadion,58328,23231,390.0,9060090
50260,2024-05-30,Warszawa,52.2297,21.0122,electronic,festiwal,28610,11839,340.0,4025260
50261,2025-02-18,Lublin,51.2465,22.5684,folk,festiwal,11079,10128,190.0,1924320
50262,2024-10-24,Kraków,50.0647,19.945,folk,klub,1378,856,80.0,68480
50263,2025-09-02,Warszawa,52.2297,21.0122,electronic,klub,310,283,140.0,39620
50264,2024-09-19,Białystok,53.1325,23.1688,classical,teatr,536,474,120.0,56880
50265,2024-05-23,Szczecin,53.4285,14.5528,hip-hop,arena,13971,11947,300.0,3584100
50266,2024-12-11,Lublin,51.2465,22.5684,classical,teatr,880,641,130.0,83330
50267,2025-09-15,Katowice,50.2649,19.0238,pop,teatr,1491,1252,330.0,413160
50268,2025-07-25,Łódź,51.7592,19.456,metal,teatr,1213,905,130.0,117650
50269,2024-01-02,Poznań,52.4064,16.9252,pop,arena,8089,6488,260.0,1686880
50270,2024-10-30,Warszawa,52.2297,21.0122,folk,klub,522,469,70.0,32830
50271,2024-09-10,Wrocław,51.1079,17.0385,indie,teatr,1321,689,120.0,82680
50272,2025-10-13,Wrocław,51.1079,17.0385,rock,arena,12095,8187,170.0,1391790
50273,2025-03-28,Kraków,50.0647,19.945,metal,klub,805,505,110.0,55550
50274,2024-02-06,Łódź,51.7592,19.456,folk,amfiteatr,3976,3484,110.0,383240
50275,2024-06-08,Poznań,52.4064,16.9252,classical,amfiteatr,4840,4438,130.0,576940
50276,2024-01-09,Warszawa,52.2297,21.0122,classical,arena,10876,8619,120.0,1034280
50277,2024-08-20,Kraków,50.0647,19.945,classical,klub,347,223,90.0,20070
50278,2024-04-08,Łódź,51.7592,19.456,indie,klub,1341,956,60.0,57360
50279,2025-10-20,Warszawa,52.2297,21.0122,pop,teatr,1249,950,200.0,190000
50280,2024-07-26,Lublin,51.2465,22.5684,rock,amfiteatr,1866,1294,180.0,232920
50281,2024-05-10,Poznań,52.4064,16.9252,classical,klub,1049,629,100.0,62900
50282,2025-02-07,Poznań,52.4064,16.9252,reggae,klub,1289,877,80.0,70160
50283,2024-05-31,Gdańsk,54.352,18.6466,metal,amfiteatr,5541,1727,150.0,259050
50284,2024-02-23,Katowice,50.2649,19.0238,hip-hop,klub,1012,837,110.0,92070
50285,2024-04-29,Wrocław,51.1079,17.0385,reggae,arena,7270,4337,150.0,650550
50286,2025-11-03,Łódź,51.7592,19.456,rock,amfiteatr,3354,2587,120.0,310440
50287,2025-09-19,Gdańsk,54.352,18.6466,indie,klub,787,717,100.0,71700
50288,2025-08-09,Kraków,50.0647,19.945,rock,festiwal,59646,54177,280.0,15169560
50289,2025-09-16,Lublin,51.2465,22.5684,hip-hop,klub,1172,1009,150.0,151350
50290,2025-02-23,Katowice,50.2649,19.0238,metal,klub,1337,1112,110.0,122320
50291,2025-02-25,Łódź,51.7592,19.456,hip-hop,teatr,1534,1078,270.0,291060
50292,2024-04-13,Lublin,51.2465,22.5684,electronic,arena,4784,3121,220.0,686620
50293,2024-09-10,Lublin,51.2465,22.5684,metal,amfiteatr,5010,4056,130.0,527280
50294,2024-08-14,Łódź,51.7592,19.456,rock,stadion,23786,8506,220.0,1871320
50295,2024-04-21,Lublin,51.2465,22.5684,classical,klub,1370,934,90.0,84060
50296,2025-05-24,Łódź,51.7592,19.456,rock,klub,234,177,140.0,24780
50297,2025-04-17,Łódź,51.7592,19.456,rock,klub,1198,643,80.0,51440
50298,2024-04-08,Gdańsk,54.352,18.6466,metal,klub,737,522,80.0,41760
50299,2024-06-01,Katowice,50.2649,19.0238,electronic,klub,949,520,110.0,57200
50300,2024-12-03,Warszawa,52.2297,21.0122,rock,klub,1237,789,130.0,102570
50301,2025-12-06,Lublin,51.2465,22.5684,reggae,arena,12643,11429,130.0,1485770
50302,2024-06-11,Lublin,51.2465,22.5684,folk,teatr,632,461,90.0,41490
50303,2025-12-20,Warszawa,52.2297,21.0122,jazz,festiwal,55760,36704,220.0,8074880
50304,2025-11-11,Katowice,50.2649,19.0238,jazz,teatr,962,568,170.0,96560
50305,2024-06-09,Warszawa,52.2297,21.0122,rock,klub,1138,849,80.0,67920
50306,2025-08-02,Wrocław,51.1079,17.0385,reggae,klub,1086,872,60.0,52320
